,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
2203,0,,720026,tt8764358,0,93,en,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",33.286,Butchers,5.0,155,2020,Horror,,,,,,,
2204,22000000,http://movies.disney.com/the-game-plan,13680,tt0492956,147880543,110,en,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",33.276,The Game Plan,6.4,1719,2007,Comedy,Family,,,,,,
2205,20000000,,11835,tt0804461,16974459,105,en,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",33.275,Death Sentence,6.7,926,2007,Action,Crime,Drama,Thriller,,,,
2206,6000000,http://www.13assassins.com/,58857,tt1436045,17555141,141,ja,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,33.27,13 Assassins,7.3,920,2010,Action,Adventure,Drama,,,,,
2207,8020000,,576784,tt11390180,0,100,ru,"Romantic John the Fool and his friend Foal set out on a series of unpredictable adventures in different magical worlds. The two buddies will have to outsmart an evil tyrant king, catch the firebird, and find John’s true love.",33.233,Upon the Magic Roads,6.3,53,2021,Adventure,Fantasy,,,,,,
2208,5000000,,11357,tt0095271,17800000,88,en,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",33.231,Halloween 4: The Return of Michael Myers,6.1,1540,1988,Horror,Thriller,,,,,,
2209,5300000,http://www.ungalloconmuchoshuevos.com,264419,tt4643580,26072723,99,es,"Toto has grown and now is a young cock. An evil rancher tricks the female owner of the ranch where they live and forces her to bet the property in a cockfight in the arena. Toto is the only option to defend their home, so he must train in just one week and win the championship of the arena.",33.226,Huevos: Little Rooster's Egg-Cellent Adventure,7.0,187,2015,Adventure,Animation,Comedy,Family,,,,
2210,3000000,,510,tt0073486,108981275,133,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",33.214,One Flew Over the Cuckoo's Nest,8.4,9059,1975,Drama,,,,,,,
2211,5000000,,335,tt0064116,5380118,166,it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",33.211,Once Upon a Time in the West,8.3,3615,1968,Drama,Western,,,,,,
2212,0,,573531,tt1480660,11000000,120,en,The universe of the Halo video game series is expanded in seven short animated films from Japan's greatest anime directors and studios.,33.196,Halo Legends,7.4,137,2010,Animation,Drama,War,,,,,
2213,50000000,http://www.findnumberfour.com/,46529,tt1464540,149878437,109,en,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",33.187,I Am Number Four,6.2,4150,2011,Action,Adventure,ScienceFiction,Thriller,,,,
2214,0,http://www.netflix.com/title/81283586,840882,tt14817272,0,90,en,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.",33.174,The Weekend Away,6.0,522,2022,Mystery,Thriller,,,,,,
2215,12000000,,11249,tt0387575,24829644,87,en,"This time around, Chucky and his homicidal honey, Tiffany, are brought back to life by their orphan offspring, Glen. Then the horror goes Hollywood as Chucky unleashes his own brand of murderous mayhem!",33.163,Seed of Chucky,5.4,1304,2004,Comedy,Horror,Thriller,,,,,
2216,8300000,http://www.magnetreleasing.com/theburningsea/,623511,tt12753120,2836382,104,no,"An oil platform dramatically goes down on the Norwegian coast, and researchers try to find out what happened when they realize this is just the start of something even more serious.",33.139,The Burning Sea,6.7,119,2021,Action,Drama,Thriller,,,,,
2217,54000000,http://vforvendetta.warnerbros.com/,752,tt0434409,132511035,132,en,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",33.118,V for Vendetta,7.9,12821,2006,Action,ScienceFiction,Thriller,,,,,
2218,0,,809314,tt13382698,0,82,en,Nicolas Shaw is a retired U.S. special operative who becomes part of an elite 'invisible' team that quietly takes out the worst villains around the world.,33.116,Trigger Point,6.4,120,2021,Action,Thriller,,,,,,
2219,20000000,,406990,tt1536537,27975429,123,en,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",33.115,What Happened to Monday,7.2,5427,2017,Action,Drama,Mystery,ScienceFiction,Thriller,,,
2220,0,,839440,tt13296032,0,77,en,"Sienna is desperate to win a large cash prize in a secret underground game show. However, Dinosaur's begin to hunt her down for the entertainment of the rich and wealthy. Can she be the last to survive the horrific night to win the prize?",33.112,Dinosaur Hotel,5.2,64,2021,Horror,Mystery,ScienceFiction,,,,,
2221,0,http://samsonmovie.pureflix.com/,474392,tt6951892,4873825,110,en,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",33.111,Samson,5.8,195,2018,Action,Adventure,Drama,,,,,
2222,250000000,https://www.starwars.com/films/solo,348350,tt3778644,392952373,135,en,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",33.079,Solo: A Star Wars Story,6.6,7440,2018,Action,Adventure,ScienceFiction,,,,,
2223,0,https://www.netflix.com/title/80223997,568091,tt4332232,0,99,en,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",33.074,Fractured,6.7,1978,2019,Thriller,,,,,,,
2224,0,,74997,tt1530509,0,91,en,"Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.",33.072,The Human Centipede 2 (Full Sequence),4.8,1104,2011,Crime,Drama,Horror,,,,,
2225,5800000,https://www.20thcenturystudios.com/movies/planet-of-the-apes-1968,871,tt0063442,32589624,112,en,"Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",33.005,Planet of the Apes,7.6,2813,1968,Action,Adventure,Drama,ScienceFiction,,,,
2226,42000000,,9378,tt0245674,68467960,91,en,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",33.001,Thir13en Ghosts,6.2,1751,2001,Horror,Thriller,,,,,,
2227,0,,704408,,0,73,ko,A young man prepping to take the exam to become a police officer is dumped by his lover and takes to a late night bar to drown his woes in drink. There the bar owner and her ladies the stunned and heartbroken young man away.,32.997,Pleasure Guide,1.0,1,2017,Romance,,,,,,,
2228,65000000,http://www.lovelybones.com,7980,tt0380510,93621340,136,en,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.",32.993,The Lovely Bones,7.0,4026,2009,Drama,Fantasy,,,,,,
2229,55000000,http://www.paddington.com/,116149,tt1109624,259207227,96,en,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",32.98,Paddington,7.1,3109,2014,Adventure,Comedy,Family,,,,,
2230,0,,386716,tt11941248,0,95,ko,"Twenty year-old Ki-chan lives alone with his father. One day Yoon-seo (Kim Jeong-ah), his stepmother comes to live with them. She tries to be friendly with Ki-chan but he appraoches her as a woman and starts showing her that. Yoon-seo strongly rejects him but he knows that she wants him too. Their relationship turns into something dangerous. Then one day, Min-jeong, who has had a crush on Ki-chan for a long time, finds out what is going on between the two. The young stepmother fools her husband and falls in love with his son and the son falls in love with his father's woman. They make a deal with Min-jeong to make sure she doesn't say anything.",32.977,Young Mother 3,5.2,9,2015,Romance,,,,,,,
2231,3000000,http://warroomthemovie.com/,323272,tt3832914,67790117,120,en,"The family-friendly movie explores the transformational role prayer plays in the lives of the Jordan family. Tony and Elizabeth Jordan, a middle-class couple who seemingly have it all – great jobs, a beautiful daughter, their dream home. But appearances can be deceiving. In reality, the Jordan’s marriage has become a war zone and their daughter is collateral damage. With the help of Miss Clara, an older, wiser woman, Elizabeth discovers she can start fighting for her family instead of against them. Through a newly energized faith, Elizabeth and Tony’s real enemy doesn’t have a prayer.",32.972,War Room,7.8,409,2015,Drama,Romance,,,,,,
2232,0,,729097,,0,95,ko,"Ji-suk, a wealthy mother, wants to send her son, Se-hyuk, to the medical school. While looking for a competent private education coordination, Although it succeeded in recruiting a high-ranking entrance exam coordinator,'Starring', which only a few elite students selected. After hearing the rumors,'Namjae,' the father of Euntae, a high school examinee next door, hears rumors and comes to contact the main character. Like this, the parents of Se-hyeok and Eun-tae's neighbors 'Starring', who was in a difficult situation after entering a strange competition Eventually, I would share the day of the week to go to both houses to teach Se-hyuk and Eun-tae. Although they will agree with the two families, Eun Tae, who is a senior high school student, is in medical school. Not interested and only busy with high school girlfriends Se-hyuk starts talking to a beautiful tutor, starring than the entrance exam.",32.942,Young Mother 5,4.9,8,2020,Drama,Romance,,,,,,
2233,45000000,,1493,tt0212346,212000000,111,en,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",32.924,Miss Congeniality,6.5,3335,2000,Action,Comedy,Crime,,,,,
2234,0,,329505,tt0089790,0,88,it,Young man has his dreams come true when the sexy new maid seduces him. But she also has a secret that leads to trouble.,32.911,Lola's Secret,4.5,3,1984,Comedy,Drama,,,,,,
2235,25130430,http://baahubali.com,256040,tt2631186,90747520,158,te,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",32.89,Bāhubali: The Beginning,7.6,623,2015,Action,Drama,,,,,,
2236,6000000,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,23341568,106,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",32.865,The Usual Suspects,8.2,9033,1995,Crime,Drama,Thriller,,,,,
2237,12000000,https://www.netflix.com/title/81256747,873125,tt14270848,0,99,it,"At the end of WWII, an ambitious bootlegger and his nightclub-singing girlfriend assemble a ragtag bunch of misfits for an impossible heist: to steal Mussolini's treasure right from his headquarters.",32.86,Robbing Mussolini,5.6,164,2022,Action,Adventure,Comedy,Crime,War,,,
2238,0,https://www.netflix.com/title/81386989,1014779,tt21836538,0,105,en,This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.,32.847,The Figo Affair: The Transfer That Changed Football,7.1,65,2022,Documentary,,,,,,,
2239,175000000,,448119,tt6673612,245692007,101,en,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",32.842,Dolittle,6.7,3147,2020,Adventure,Family,Fantasy,,,,,
2240,150000000,https://www.pokemon.com/us/pokemon-episodes/pokemon-movies/pokemon-the-movie-hoopa-and-the-clash-of-ages-2015,350499,tt4503906,0,73,ja,"Ash, Pikachu, and their friends come to a desert city by the sea. Here they meet the Mythical Pokémon Hoopa, which has the ability to summon things—including people and Pokémon—through its magic rings. After a scary incident, they learn of a story about a brave hero who stopped the rampage of a terrifying Pokémon long ago. Now, the threat that has been bottled up for years is in danger of breaking loose again.",32.84,Pokémon the Movie: Hoopa and the Clash of Ages,6.7,217,2015,Action,Adventure,Animation,Family,Fantasy,,,
2241,12000000,http://www.sonypictures.com/movies/heavenisforreal/,236751,tt1929263,101332962,99,en,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",32.838,Heaven Is for Real,6.7,658,2014,Drama,,,,,,,
2242,0,http://gaga.ne.jp/FT.DC,433422,tt6548966,0,85,ja,"Natsu Dragneel and his friends travel to the island Kingdom of Stella, where they will reveal dark secrets, fight the new enemies and once again save the world from destruction.",32.837,Fairy Tail: Dragon Cry,6.5,364,2017,Action,Adventure,Animation,Comedy,Fantasy,,,
2243,0,https://www.hbomax.com/feature/a-christmas-story-christmas,929340,tt17220704,0,98,en,Ralphie is now all grown up and must deal with Christmas and all that comes with it…as a dad.,32.83,A Christmas Story Christmas,6.6,88,2022,Comedy,Drama,Family,,,,,
2244,30000000,http://www.discoverthecabininthewoods.com/,22970,tt1259521,71041255,95,en,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",32.825,The Cabin in the Woods,6.6,6879,2012,Fantasy,Horror,,,,,,
2245,38000000,https://www.facebook.com/5thWaveMovie/,299687,tt2304933,109906372,112,en,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,32.822,The 5th Wave,5.9,5263,2016,Action,Adventure,ScienceFiction,,,,,
2246,115000000,,1995,tt0146316,274703340,100,en,"English aristocrat Lara Croft is skilled in hand-to-hand combat and in the middle of a battle with a secret society. The shapely archaeologist moonlights as a tomb raider to recover lost antiquities and meets her match in the evil Powell, who's in search of a powerful relic.",32.822,Lara Croft: Tomb Raider,5.9,5417,2001,Action,Adventure,Fantasy,Thriller,,,,
2247,5000000,,167032,tt2230358,3800000,97,en,"After the passing of her mother, Nica Pierce, a young woman in a wheelchair, is forced to deal with her sister, brother-in-law, niece and their nanny as they say their goodbyes to mother. But when people start turning up dead, Nica discovers the culprit might be a strange doll she received a few days earlier.",32.79,Curse of Chucky,5.9,1317,2013,Horror,Thriller,,,,,,
2248,10000000,,74513,tt1656192,3424648,109,fr,"Afghanistan. War correspondent Elsa Casanova is taken hostage by the Taliban. Faced with her imminent execution, a Special Forces unit is dispatched to free her. In some of the world’s most breathtaking yet hostile landscapes, a relentless pursuit begins between her kidnappers who have no intention of letting their prey escape them and a group of soldiers who risk their lives in pursuit of their single aim – to bring her home alive. This strong, independent woman and these men of duty are thrown together and forced to confront situations of great danger that inextricably bind them – emotionally, violently and intimately.",32.787,Special Forces,6.7,468,2011,Action,Drama,War,,,,,
2249,0,https://www.peacocktv.com/stream-movies/they-them,816977,tt14502344,0,101,en,Campers at an LGBTQ+ conversion camp endure unsettling psychological techniques while the campsite is stalked by a mysterious killer.,32.784,They/Them,5.1,126,2022,Horror,Thriller,,,,,,
2250,0,,172760,tt0105551,0,91,cn,"Tong catches Chiu attempting to rape his wife May (Amy Yip). They scuffle and Tong shoots Chiu dead with Chiu's gun. They flee but Tong is killed in a shootout with police. May begs an officer to take her child, since if he is repatriated he'll have a horrible life. So, the infant son ends up in Hong Kong separated from his mother. Six years pass and May is a hotel maid then gets forced into prostitution. She longs to see her son, who is now a young boy, maybe to fully reunite with him. The problem with this film is it becomes so sleazy. There is nudity (not Ms. Yip), violence and forcible rape.",32.784,China Dolls,2.0,1,1992,Crime,Thriller,,,,,,
2251,0,https://www.netflix.com/title/81435227,607259,tt4733624,0,109,en,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",32.762,Fatherhood,7.6,1114,2021,Comedy,Drama,,,,,,
2252,0,https://www.netflix.com/title/81175173,1022206,tt22091698,0,107,pt,"To fulfill his mother’s dying wish and avoid being removed from her will, an inflexible bachelor hires an actress to play his fiancée.",32.71,Someone Borrowed,6.4,77,2022,Comedy,Romance,,,,,,
2253,0,,854663,,0,70,ko,"Friends Cheol Min and Jae Hyuk meet and talk to each other after a long time. Jae Hyuk said that the domestic helper who recently came to work at his house is strange. He said he was worried because she couldn't do the housework. When Jae Hyuk said she seemed to be trying to seduce him, Cheol Min tells the innocent Jae Hyuk how to get around her. Can Jae Hyuk succeed in having sex with a beautiful housekeeper?",32.706,Blood Type O Watermelon Maid,1.0,1,2021,Drama,Romance,,,,,,
2254,82000000,,9291,tt0398165,190320568,113,en,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.",32.699,The Longest Yard,6.6,2812,2005,Comedy,,,,,,,
2255,75000000,,8656,tt0120647,349464664,120,en,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",32.676,Deep Impact,6.2,2552,1998,Action,Drama,ScienceFiction,,,,,
2256,20000000,,9387,tt0082198,79114085,129,en,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",32.675,Conan the Barbarian,6.8,2050,1982,Action,Adventure,Fantasy,,,,,
2257,0,,607844,tt14810692,29855981,121,ko,Diplomats from the North and South Korean embassies in Somalia attempt a daring joint escape from Mogadishu when the outbreak of civil war leaves them stranded.,32.67,Escape from Mogadishu,7.1,100,2021,Action,Drama,Thriller,War,,,,
2258,6000000,,8982,tt0427954,27165581,111,th,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters.",32.665,The Protector,7.1,698,2005,Action,Crime,Drama,Thriller,,,,
2259,0,,621870,tt10324122,0,97,en,"Sam is a teenage royal rebel, second in line to the throne of the kingdom of Illyria. Just as her disinterest in the royal way of life is at an all-time high, she discovers she has super-human abilities and is invited to join a secret society of similar extraordinary second-born royals charged with keeping the world safe.",32.664,Secret Society of Second Born Royals,6.8,469,2020,Action,Adventure,Comedy,Fantasy,,,,
2260,0,http://disneydvd.disney.go.com/tinker-bell-and-the-great-fairy-rescue.html,44683,tt1216515,0,76,en,"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",32.664,Tinker Bell and the Great Fairy Rescue,6.7,759,2010,Adventure,Animation,Family,Fantasy,,,,
2261,0,,845885,tt14773112,0,83,en,"A father is imprisoned after committing a brutal revenge crime. During his confinement he must adapt to a new life of abuse, including injury and humiliation by guards and other prisoners.",32.663,Dark Blood,5.5,10,2021,Crime,Drama,,,,,,
2262,19597380,https://moviestory.cgv.co.kr/fanpage/mainView?movieIdx=85561,591120,tt17491040,10247262,126,ko,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",32.661,The Pirates: The Last Royal Treasure,6.8,131,2022,Action,Adventure,Comedy,History,,,,
2263,0,,227859,tt3120944,0,88,en,"Taken into slavery after the fall of Jerusalem in 605 B.C., Daniel is forced to serve the most powerful king in the world, King Nebuchadnezzar. Faced with imminent death, Daniel proves himself a trusted Advisor and is placed among the king's wise men. Threatened by death at every turn Daniel never ceases to serve the king until he is forced to choose between serving the king or honoring God. With his life at stake, Daniel has nothing but his faith to stand between him and the lions den.",32.658,The Book of Daniel,7.3,62,2013,Drama,Fantasy,,,,,,
2264,0,http://www.danmachi.com/movie/,553835,tt9526152,0,82,ja,"In the city of Orario, beneath an impossibly tall tower, lies the dungeon. Only adventurers who form partnerships with the gods themselves have any hope of defeating the monsters that lie within. But the dungeon is not the only place where monsters exist. Far from Orario, in the ruins of an ancient city, a new threat arises. To counter this threat, the goddess Artemis has come to Orario in search of a champion—but it’s not Ais Wallenstein (the legendary Sword Princess) nor Ottar (the strongest warrior to ever enter the dungeon) that she chooses. Rather it is Bell Cranel, a newbie adventurer partnered with a low-tier goddess.",32.645,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,7.8,174,2019,Action,Adventure,Animation,Comedy,Fantasy,Romance,,
2265,0,,637920,tt10431500,19289062,132,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",32.626,Miracle in Cell No. 7,8.3,4054,2019,Drama,,,,,,,
2266,0,https://www.peacocktv.com/watch-online/movies/kids/curious-george-cape-ahoy,918832,tt15437042,0,88,en,"With help from a local fisherman, his niece and an adorable baby seal, George embarks on a quest in search of the long-lost shipwreck of legendary sea captain Trumpet Tooter.",32.605,Curious George: Cape Ahoy,3.3,7,2021,Adventure,Animation,Comedy,,,,,
2267,25000000,,619,tt0103855,411006740,129,en,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",32.576,The Bodyguard,6.7,2470,1992,Action,Drama,Music,Romance,Thriller,,,
2268,0,https://www.nikkatsu.com/movie/26183.html,185698,tt0285501,0,74,ja,Two sisters are captured by a bounty hunter for an S&M nightclub .,32.575,Double Rope Torture,2.0,2,1985,empty,,,,,,,
2269,15000000,http://www.mamamovie.com/,132232,tt2023587,146497771,100,en,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",32.573,Mama,6.2,3725,2013,Horror,,,,,,,
2270,0,,83088,tt0326101,0,45,ja,"The plot involves the coming of Lucifer to the Sanctuary, where his underlings systematically dispose of the surviving Gold Saints. Athena goes to Lucifer to ask for peace, placing herself in peril. The Bronze Saints must then come to her rescue, destroying Lucifer's Fallen Angels (Seima Tenshi in Japanese) in the process.",32.57,Saint Seiya: Warriors of the Final Holy Battle,7.2,162,1989,Action,Animation,Fantasy,,,,,
2271,7000000,,51620,tt1500491,0,100,en,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",32.558,Death Race 2,5.8,941,2010,Action,ScienceFiction,Thriller,,,,,
2272,0,,41498,tt1485763,53000000,114,ja,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",32.555,One Piece: Strong World,7.5,290,2009,Adventure,Animation,Fantasy,,,,,
2273,0,,887767,tt11833670,0,86,en,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",32.538,Last Shoot Out,6.5,132,2021,Action,Thriller,Western,,,,,
2274,10000000,,107,tt0208092,83557872,103,en,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",32.537,Snatch,7.8,7744,2000,Comedy,Crime,,,,,,
2275,60000000,,267860,tt3300542,205754447,99,en,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",32.496,London Has Fallen,6.2,4155,2016,Action,Thriller,,,,,,
2276,84000000,http://red-themovie.com/,146216,tt1821694,148100000,116,en,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,32.495,RED 2,6.5,3557,2013,Action,Comedy,Crime,Thriller,,,,
2277,2000000,,8810,tt0082694,24600832,96,en,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",32.479,Mad Max 2,7.4,3047,1981,Action,Adventure,ScienceFiction,Thriller,,,,
2278,35000000,http://www.uphe.com/movies/the-thing-2011,60935,tt0905372,31505287,103,en,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",32.471,The Thing,6.2,2446,2011,Horror,Mystery,ScienceFiction,Thriller,,,,
2279,830000,https://gkids.com/films/perfect-blue,10494,tt0156887,112536,81,ja,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,32.432,Perfect Blue,8.3,1895,1997,Animation,Thriller,,,,,,
2280,0,https://www.amazon.com/dp/B097YYZ87F,593910,tt10155932,0,113,en,"Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",32.43,Cinderella,6.5,1174,2021,Comedy,Fantasy,Romance,,,,,
2281,50000000,,66,tt0118548,50068310,121,en,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",32.426,Absolute Power,6.6,882,1997,Action,Crime,Drama,,,,,
